mir	disease	pmid
mir-940	Neoplasms [unspecific]	24675421
mir-21	Ischemia-Reperfusion Injury	24676391
mir-21	Squamous Cell Carcinoma, Oral	24676554
mir-24	Hyperlipidemia	24677249
mir-130a	Fatty Liver [unspecific]	24677715
mir-203	Squamous Cell Carcinoma, Laryngeal or Hypopharyngeal	24682952
mir-155	Neoplasms [unspecific]	24687397
mir-122	Carcinoma, Hepatocellular, HCV-Related	24690114
mir-194	Adenocarcinoma, Colon	24691499
mir-138	Lung Neoplasms	24691972
mir-203	Squamous Cell Carcinoma, Esophageal	24692008
mir-101	Carcinoma, Hepatocellular, HBV-Related	24697700
let-7	Neoplasms [unspecific]	24703842
mir-612	Liver Neoplasms	24704424
mir-302	Neoplasms [unspecific]	24705778
mir-218	Gastrointestinal Stromal Tumor	24706111
mir-7	Breast Neoplasms	24707474
mir-155	Leukemia, Myeloid, Acute	24708856
mir-375	Neoplasms [unspecific]	24708873
mir-208b	Heart Failure	24714087
mir-34a	Heart Failure	24714087
mir-451	Glioma	24714982
mir-22	Carcinoma, Endometrial	24715036
mir-210	Carcinoma, Ovarian	24715221
mir-130b	Prostate Neoplasms	24715691
mir-155	Neoplasms [unspecific]	24716910
mir-421	Neoplasms [unspecific]	24716910
mir-650	Neoplasms [unspecific]	24716910
mir-375	Gastric Neoplasms	24718681
mir-214	Carcinoma, Hepatocellular	24719559
mir-210	Leukemia, Lymphoblastic, Acute, Childhood	24720529
mir-122	Hepatitis C Virus Infection	24721497
mir-34a	Carcinoma, Skin	24726431
mir-223	Breast Neoplasms	24727437
mir-20a	Neoplasms [unspecific]	24732804
mir-155	Selective IgE Deficiency Disease	24734904
mir-135b	Carcinoma, Colon	24735923
mir-155	Recurrent Spontaneous Abortion	24739646
mir-133b	Parkinson Disease	24742361
mir-21	Cardiomegaly	24743143
mir-21	Heart Failure	24743143
mir-146a	Graves Ophthalmopathy	24743332
mir-155	Graves Ophthalmopathy	24743332
mir-491	Glioblastoma	24747968
mir-122	Carcinoma, Hepatocellular, HBV-Related	24748463
mir-122	Chronic Hepatitis C	24752012
mir-200c	Breast Neoplasms	24754877
mir-23b	Neoplasms [unspecific]	24755453
mir-101	Carcinoma, Hepatocellular	24759835
mir-16	Carcinoma, Hepatocellular	24759835
mir-21	Carcinoma, Hepatocellular	24759835
mir-143	Osteosarcoma	24762226
mir-29b	Carcinoma, Ovarian	24767251
mir-155	Atherosclerosis	24767942
mir-552	Adenocarcinoma, Lung	24778034
mir-552	Colorectal Carcinoma	24778034
mir-592	Adenocarcinoma, Lung	24778034
mir-592	Colorectal Carcinoma	24778034
mir-125b	Rheumatoid Arthritis	24778468
mir-31	Carcinoma, Endometrial	24779718
mir-21	Colorectal Carcinoma	24780321
mir-223	Osteosarcoma	24784921
mir-224	Glioblastoma	24785373
mir-26a	Lung Neoplasms	24788552
mir-126	Squamous Cell Carcinoma, Oral	24789258
mir-486	Muscular Dystrophy	24789910
let-7g	Carcinoma, Hepatocellular	24791593
mir-96	Squamous Cell Carcinoma, Cerevial	24791792
mir-200c	Lung Neoplasms	24791940
mir-10b	Carcinoma, Renal Cell, Clear-Cell	24793999
mir-21	Carcinoma, Renal Cell, Clear-Cell	24793999
mir-126	Essential Hypertension	24794206
mir-9	Essential Hypertension	24794206
mir-224	Gastric Neoplasms	24796455
mir-34a	Carcinoma, Gastric	24796666
mir-29	Carcinoma, Hepatocellular	24798303
mir-24	Carcinoma, Hepatocellular	24800232
mir-34c	Osteosarcoma	24802328
mir-148a	Carcinoma, Hepatocellular	24806207
mir-23a	Carcinoma, Breast	24806942
mir-133a	Long QT Syndrome	24809446
mir-141	Carcinoma, Renal Cell	24810210
mir-199a	Carcinoma, Thyroid, Papillary	24810336
mir-200a	Diabetes Mellitus, Type 2	24812635
mir-375	Diabetes Mellitus, Type 2	24812635
mir-1915	Colon Neoplasms	24814047
mir-200	Osteosarcoma	24815002
mir-34	Osteoporosis	24815299
mir-100	Atherosclerosis	24815336
mir-127	Atherosclerosis	24815336
mir-145	Atherosclerosis	24815336
mir-146	Atherosclerosis	24815336
mir-155	Atherosclerosis	24815336
mir-221	Atherosclerosis	24815336
mir-222	Atherosclerosis	24815336
mir-24	Atherosclerosis	24815336
mir-718	Ovarian Neoplasms	24815691
mir-223	Rheumatoid Arthritis	24816316
mir-133a	Carcinoma, Lung, Non-Small-Cell	24816813
mir-125b	Glioblastoma	24817689
mir-125a	Multiple Myeloma	24819167
mir-223	Colorectal Carcinoma	24819398
mir-422a	Osteoporosis	24820117
mir-27	Urinary Bladder Cancer	24821854
mir-31	Hepatitis B Virus Infection	24824126
mir-125a	Hepatitis B Virus Infection	24824183
mir-27a	Hepatitis C Virus Infection	24824429
mir-22	Leukemia, Lymphocytic, Chronic, B-Cell	24825182
mir-142	Glioma	24825189
mir-320	Diabetes Mellitus, Type 2	24825548
mir-124	Colitis, Ulcerative	24825593
mir-21	Myocardial Ischemic-Reperfusion Injury	24825878
mir-4728	Breast Neoplasms	24828673
mir-509	Cystic Fibrosis	24829907
mir-19	Breast Neoplasms	24831732
mir-21	Colorectal Carcinoma	24832083
mir-221	Central Nervous System Embryonal Tumor	24832085
mir-222	Central Nervous System Embryonal Tumor	24832085
mir-134	Acute Myocardial Infarction	24833470
mir-328	Acute Myocardial Infarction	24833470
mir-126	Atherosclerosis	24833799
mir-765	Prostate Neoplasms	24837491
mir-155	Breast Neoplasms	24840899
mir-451	Carcinoma, Hepatocellular	24841638
mir-223	Colorectal Carcinoma	24841830
mir-451	Colorectal Carcinoma	24841830
mir-218	Carcinoma, Cervical	24843318
mir-122	Hepatitis C Virus Infection	24844965
mir-21	Carcinoma, Hepatocellular	24845419
mir-497	Gastric Neoplasms	24845562
mir-128	Leukemia, Myeloid, Acute	24846063
mir-106b	Squamous Cell Carcinoma, Laryngeal or Hypopharyngeal	24846066
mir-21	Squamous Cell Carcinoma, Laryngeal or Hypopharyngeal	24846066
mir-375	Squamous Cell Carcinoma, Laryngeal or Hypopharyngeal	24846066
mir-200a	Cervix Endometrial Stromal Tumor	24850415
mir-26a	Idiopathic Pulmonary Fibrosis	24853416
let-7a	Salivary Gland Neoplasms	24853424
mir-24	Ischemia-Reperfusion Injury	24854275
mir-127	Carcinoma, Hepatocellular	24854842
mir-200a	Meningioma	24858044
mir-142	Leukemia, Myeloid, Acute	24858343
mir-191	Leukemia, Myeloid, Acute	24858343
mir-122	Glioma	24863942
mir-23	Myocardial Infarction	24864093
mir-103a	Breast Neoplasms	24865188
mir-190a	Carcinoma, Breast, Triple Negative	24865188
mir-200b	Carcinoma, Breast, Triple Negative	24865188
mir-93	Carcinoma, Breast, Triple Negative	24865188
mir-21	Ovarian Neoplasms	24865582
mir-181c	Brain Neoplasms	24867100
mir-126	Atherosclerosis	24870014
mir-122	Hepatitis C Virus Infection	24871972
mir-196a	Human Immunodeficiency Virus Infection	24872081
mir-17	Leukemia	24872388
mir-20a	Leukemia	24872388
mir-10b	Carcinoma, Hepatocellular	24875649
mir-1269a	Carcinoma, Hepatocellular	24875649
mir-183	Carcinoma, Hepatocellular	24875649
mir-199a	Carcinoma, Hepatocellular	24875649
mir-199b	Carcinoma, Hepatocellular	24875649
mir-214	Carcinoma, Hepatocellular	24875649
mir-3144	Carcinoma, Hepatocellular	24875649
mir-490	Carcinoma, Hepatocellular	24875649
mir-106b	Carcinoma, Hepatocellular	24876719
mir-17	Carcinoma, Hepatocellular	24876719
mir-18	Carcinoma, Hepatocellular	24876719
mir-19a	Carcinoma, Hepatocellular	24876719
mir-19b-1	Carcinoma, Hepatocellular	24876719
mir-20a	Carcinoma, Hepatocellular	24876719
mir-92-1	Carcinoma, Hepatocellular	24876719
mir-1291	Acute Myocardial Infarction	24885383
mir-133	Acute Myocardial Infarction	24885383
mir-663b	Acute Myocardial Infarction	24885383
mir-520b	Hepatitis B Virus Infection	24886421
mir-221	Breast Neoplasms	24886939
mir-222	Breast Neoplasms	24886939
mir-940	Tetralogy Of Fallot	24889693
mir-15b	Carcinoma, Pancreatic	24892299
mir-15b	Colon Neoplasms	24892299
mir-146a	Carcinoma, Hepatocellular	24895573
mir-24	Pancreatic Neoplasms	24895587
mir-16	Colorectal Carcinoma	24895601
mir-148a	Pancreatic Neoplasms	24895996
mir-216a	Pancreatic Neoplasms	24895996
mir-125a	Carcinoma, Nasopharyngeal	24896104
mir-10b	Breast Neoplasms	24897960
mir-16	Multiple Sclerosis	24898268
mir-122	Carcinoma, Colon	24898807
mir-23a	Carcinoma, Lung, Non-Small-Cell	24898878
mir-451	Glioblastoma	24899919
mir-17	Multiple Sclerosis	24901013
mir-125a	Obesity	24901105
mir-18a	Ischemic Heart Disease	24903055
mir-100	Neoplasms [unspecific]	24903380
mir-221	Breast Neoplasms	24905916
mir-21	Carcinoma, Lung, Non-Small-Cell	24906642
mir-210	Neoplasms [unspecific]	24909053
mir-630	Neoplasms [unspecific]	24909689
mir-124	Colorectal Carcinoma	24909917
mir-27a	Colorectal Carcinoma	24909917
mir-30b	Colorectal Carcinoma	24909917
let-7i	Acute Ischemic Stroke	24911610
mir-21	Neoplasms [unspecific]	24912785
mir-124	Prostate Neoplasms	24913567
mir-581	Carcinoma, Hepatocellular	24913918
mir-155	Leukemia, Lymphocytic, Chronic, B-Cell	24914134
mir-132	Colorectal Carcinoma	24914372
mir-146a	Neurodegenerative Diseases [unspecific]	24917789
mir-146a	Cholangiocarcinoma	24918778
mir-155	Cholangiocarcinoma	24918778
mir-200a	Cholangiocarcinoma	24918778
mir-200b	Cholangiocarcinoma	24918778
mir-21	Cholangiocarcinoma	24918778
mir-221	Cholangiocarcinoma	24918778
mir-17	Melanoma	24920276
mir-18	Melanoma	24920276
mir-19a	Melanoma	24920276
mir-19b-1	Melanoma	24920276
mir-20a	Melanoma	24920276
mir-92-1	Melanoma	24920276
mir-103	Hematologic Neoplasms	24921248
mir-21	Hematologic Neoplasms	24921248
mir-31	Hematologic Neoplasms	24921248
mir-566	Hematologic Neoplasms	24921248
mir-93	Hematologic Neoplasms	24921248
mir-222	Breast Neoplasms	24923427
mir-378	Obesity	24923530
mir-106b	Atrial Fibrillation	24927531
mir-33a	Hyperlipidemia	24928089
mir-188	Osteoarthritis	24928913
mir-19a	Ovarian Neoplasms	24929208
mir-146b	Obesity	24931160
mir-126	Atherosclerosis	24933211
mir-155	Atherosclerosis	24933211
mir-20a	Atherosclerosis	24933211
mir-133a	Hypertension	24937684
mir-155	Down Syndrome	24938108
mir-145	Colorectal Adenocarcinoma	24938624
mir-21	Colorectal Adenocarcinoma	24938624
mir-146a	Osteoarthritis	24939082
mir-675	Carcinoma, Hepatocellular	24939300
let-7a	Breast Neoplasms	24942235
mir-335	Breast Neoplasms	24942235
mir-139	Colorectal Carcinoma	24942287
mir-107	Stroke, Ischemic	24943094
mir-1	Diabetes Mellitus, Type 2	24944010
mir-103	Diabetes Mellitus, Type 2	24944010
mir-107	Diabetes Mellitus, Type 2	24944010
mir-124a	Diabetes Mellitus, Type 2	24944010
mir-126	Diabetes Mellitus, Type 2	24944010
mir-128a	Diabetes Mellitus, Type 2	24944010
mir-133a	Diabetes Mellitus, Type 2	24944010
mir-133b	Diabetes Mellitus, Type 2	24944010
mir-143	Diabetes Mellitus, Type 2	24944010
mir-145	Diabetes Mellitus, Type 2	24944010
mir-146	Diabetes Mellitus, Type 2	24944010
mir-15a	Diabetes Mellitus, Type 2	24944010
mir-15b	Diabetes Mellitus, Type 2	24944010
mir-181b	Diabetes Mellitus, Type 2	24944010
mir-195	Diabetes Mellitus, Type 2	24944010
mir-21	Diabetes Mellitus, Type 2	24944010
mir-223	Diabetes Mellitus, Type 2	24944010
mir-27b	Diabetes Mellitus, Type 2	24944010
mir-29	Diabetes Mellitus, Type 2	24944010
mir-29a	Diabetes Mellitus, Type 2	24944010
mir-320	Diabetes Mellitus, Type 2	24944010
mir-33a	Diabetes Mellitus, Type 2	24944010
mir-33b	Diabetes Mellitus, Type 2	24944010
mir-34a	Diabetes Mellitus, Type 2	24944010
mir-376	Diabetes Mellitus, Type 2	24944010
mir-383	Diabetes Mellitus, Type 2	24944010
mir-384	Diabetes Mellitus, Type 2	24944010
mir-7	Diabetes Mellitus, Type 2	24944010
mir-9	Diabetes Mellitus, Type 2	24944010
mir-96	Diabetes Mellitus, Type 2	24944010
mir-146b	Carcinoma, Thyroid	24946010
mir-29c	Bladder Neoplasms	24952510
mir-33	Atherosclerosis	24953492
mir-29c	Influenza	24953694
mir-130a	Carcinoma, Gallbladder	24953832
mir-124	Glioblastoma	24954504
mir-222	Carcinoma, Lung, Non-Small-Cell	24955421
mir-199a	Osteosarcoma	24957404
mir-34a	Osteosarcoma	24957404
mir-101	Lung Neoplasms	24958470
mir-126	Chronic Heart Failure	24958738
mir-21	Chronic Heart Failure	24958738
mir-214	Chronic Heart Failure	24958738
mir-221	Chronic Heart Failure	24958738
mir-222	Chronic Heart Failure	24958738
mir-21	Human Immunodeficiency Virus Infection	24961346
mir-145	Carcinoma, Gallbladder	24966896
mir-200	Ovarian Neoplasms	24966949
mir-200	Breast Neoplasms	24967704
mir-424	Neoplasms [unspecific]	24967963
mir-20a	Neoplasms [unspecific]	24969314
mir-31	Medulloblastoma	24970811
mir-15a	Leukemia, Lymphocytic, Chronic, B-Cell	24971479
mir-16-1	Leukemia, Lymphocytic, Chronic, B-Cell	24971479
mir-124	Osteosarcoma	24971902
mir-630	Prostate Neoplasms	24971999
mir-122	Fatty Liver, Non-Alcoholic	24973316
mir-142	Glioma	24974128
mir-18a	Carcinoma, Hepatocellular	24975878
mir-483	Vascular Disease [unspecific]	24976017
mir-31	Lung Neoplasms	24978700
mir-21	Breast Malignant Phyllodes Tumor	24980553
mir-21	Multiple Myeloma	24981236
mir-630	Colorectal Carcinoma	24981248
mir-34a	Gastric Neoplasms	24981249
mir-29a	Tuberculosis, Pulmonary	24981709
mir-1	Prostate Neoplasms	24982356
mir-23b	Breast Neoplasms	24985346
mir-34a	Gastric Neoplasms	24988056
mir-17	Synovial Sarcoma	24989082
mir-155	Lymphoma, Large B-Cell, Diffuse	24989312
mir-603	Glioblastoma	24994119
mir-146a	Keratitis	24996260
mir-125b	Alzheimer Disease	25001178
mir-17	Breast Neoplasms	25001613
mir-203	Prostate Neoplasms	25004126
mir-125b	Acute Lung Injury	25004393
mir-152	Prostate Neoplasms	25004396
mir-29b	Hematologic Neoplasms	25004911
mir-125b	Leukemia, Myeloid	25006123
mir-451	Pulmonary Hypertension	25006399
mir-204	Pulmonary Hypertension	25006436
mir-221	Breast Neoplasms	25007959
mir-222	Breast Neoplasms	25007959
mir-17	Carcinoma, Renal Cell	25011053
mir-101	Osteosarcoma	25013866
mir-34a	Ewing Sarcoma	25015333
mir-29a	Osteosarcoma	25015394
mir-29b	Osteosarcoma	25015394
mir-29c	Osteosarcoma	25015394
mir-142	Liver Neoplasms	25015418
mir-210	Myocardial Infarction	25016614
mir-1290	Carcinoma, Lung, Non-Small-Cell	25016979
mir-9	Breast Neoplasms	25017439
mir-128	Glioblastoma	25017996
mir-149	Glioblastoma	25017996
mir-122	Carcinoma, Hepatocellular	25023326
mir-451	Adenocarcinoma, Lung	25026294
mir-302c	Carcinoma, Hepatocellular	25027009
let-7	Epstein-Barr Virus Infection	25031339
mir-193b	Carcinoma, Hepatocellular	25034398
mir-223	Gastric Neoplasms	25036956
mir-122	Liver Injury	25039534
mir-340	Melanoma	25043973
mir-99a	Carcinoma, Lung, Non-Small-Cell	25046358
mir-941	Carcinoma, Hepatocellular	25049231
mir-21	Neoplasms [unspecific]	25049417
mir-133a	Breast Neoplasms	25051376
mir-148b	Breast Neoplasms	25051376
mir-34a	Neoplasms [unspecific]	25052958
mir-146a	Osteoarthritis	25052989
mir-34a	Prostate Neoplasms	25053345
mir-150	Melanoma	25054912
mir-200c	Glioblastoma	25058589
mir-101	Breast Neoplasms	25059472
mir-186	Diabetes Mellitus	25059983
mir-375	Diabetes Mellitus	25059983
mir-144	Ischemic Diseases [unspecific]	25060662
mir-21	Adenocarcinoma, Pancreatic Ductal	25061297
mir-221	Adenocarcinoma, Pancreatic Ductal	25061297
mir-222	Adenocarcinoma, Pancreatic Ductal	25061297
mir-148a	Breast Neoplasms	25063027
mir-26b	Posterior Capsule Opacification	25063219
mir-34c	Breast Neoplasms	25064703
mir-409	Prostate Neoplasms	25065597
mir-26	Cardiovascular Diseases [unspecific]	25066487
mir-34a	Liver Cirrhosis	25068403
mir-100	Urinary Bladder Cancer	25071007
mir-99a	Urinary Bladder Cancer	25071007
mir-146a	Myelodysplastic Syndromes	25071842
mir-122	Breast Neoplasms	25078559
mir-34a	Breast Neoplasms	25078559
mir-216b	Breast Neoplasms	25078617
mir-146a	Gastric Neoplasms	25081668
mir-487b	Ischemic Diseases [unspecific]	25085941
mir-494	Ischemic Diseases [unspecific]	25085941
mir-495	Ischemic Diseases [unspecific]	25085941
mir-155	Breast Neoplasms	25086633
mir-200	Breast Neoplasms	25086633
mir-9	Breast Neoplasms	25086633
mir-210	Prostate Neoplasms	25091736
mir-106b	Renal Fibrosis	25094038
mir-152	Carcinoma, Laryngeal	25095980
mir-508	Squamous Cell Carcinoma, Esophageal	25099196
mir-146a	Graves Ophthalmopathy	25100151
mir-34	Neoplasms [unspecific]	25102298
mir-15	Cardiomegaly	25103110
mir-133a	Colorectal Carcinoma	25104873
mir-196a	Focal Segmental Glomerulosclerosis	25107948
mir-30a	Focal Segmental Glomerulosclerosis	25107948
mir-490	Focal Segmental Glomerulosclerosis	25107948
mir-100	Squamous Cell Carcinoma, Esophageal	25109390
mir-101	Bladder Neoplasms	25109742
mir-218	Carcinoma, Hepatocellular	25110121
mir-497	Acute Myocardial Infarction	25110754
mir-499	Myocardial Infarction	25111390
mir-665	Heart Failure	25111814
mir-124	Prostate Neoplasms	25115393
mir-23b	Prostate Neoplasms	25115396
mir-24-1	Prostate Neoplasms	25115396
mir-27b	Prostate Neoplasms	25115396
mir-1291	Carcinoma, Pancreatic	25115443
mir-138	Prostate Neoplasms	25116803
mir-21	Prostate Neoplasms	25116803
mir-122	Fatty Liver, Non-Alcoholic	25117675
mir-218	Carcinoma, Hepatocellular	25120782
mir-30e	Dengue Virus Infection	25122182
mir-181b	Pancreatic Neoplasms	25126577
mir-1290	Prostate Neoplasms	25129854
mir-375	Prostate Neoplasms	25129854
mir-17	Leukemia	25130806
mir-20a	Leukemia	25130806
mir-192	Cholangiocarcinoma	25131257
mir-541	Prostate Neoplasms	25135278
mir-31	Neoplasms [unspecific]	25139099
mir-24	Osteosarcoma	25142229
mir-29a	Osteosarcoma	25142229
mir-29a	Cardiomegaly	25145535
mir-618	Thyroid Neoplasms	25145559
mir-21	Kidney Injury	25145934
mir-15	Salmonellosis	25146723
mir-133a	Muscle Diseases [unspecific]	25146754
mir-206	Muscle Diseases [unspecific]	25146754
mir-21	Neoplasms [unspecific]	25149066
mir-7	Glioblastoma	25149532
mir-30a	Neuroblastoma	25149854
mir-122	Breast Neoplasms	25150312
mir-451	Lung Neoplasms	25150396
mir-130b	Ovarian Neoplasms	25155039
mir-125b	Carcinoma, Renal Cell, Clear-Cell	25155155
mir-378	Aortic Stenosis	25157568
mir-21	Ischemia-Reperfusion Injury	25159851
mir-106b	Bladder Neoplasms	25168920
mir-520h	Neoplasms [unspecific]	25169894
mir-29	Breast Neoplasms	25174825
mir-29b-1	Osteosarcoma	25174983
mir-124a	Glioma	25175832
mir-21	Squamous Cell Carcinoma, Head and Neck	25175929
mir-1	Heart Diseases [unspecific]	25177824
mir-21	Colorectal Carcinoma	25178983
mir-152	Carcinoma, Lung, Non-Small-Cell	25190353
mir-122	Carcinoma, Ovarian	25195148
mir-375	Neoplasms [unspecific]	25195536
mir-1280	Melanoma	25195599
mir-1	Colorectal Carcinoma	25196260
mir-107	Colorectal Carcinoma	25197016
mir-99a	Colorectal Carcinoma	25197016
mir-126	Carcinoma, Colon	25199818
mir-195	Aortic Aneurysm	25201911
mir-33a	Glioma	25202981
mir-200a	Liver Neoplasms	25203708
mir-21	Periodontal Diseases	25203845
let-7d	Glioblastoma	25212824
mir-193b	Breast Neoplasms	25213330
mir-25	Heart Failure	25214573
mir-185	Carcinoma, Colon	25216407
mir-199	Cholangiocarcinoma	25217977
mir-22	Cardiovascular Diseases [unspecific]	25218673
mir-1246	Ebola Hemorrhagic Fever	25218824
mir-133b	Parkinson Disease	25218846
mir-34a	Neoplasms [unspecific]	25220161
mir-214	Neoplasms [unspecific]	25223704
mir-494	Lung Neoplasms	25226615
mir-143	Osteosarcoma	25227664
mir-34b	Neoplasms [unspecific]	25227823
mir-34c	Neoplasms [unspecific]	25227823
mir-155	Lung Neoplasms	25230125
mir-34a	Carcinoma, Nasopharyngeal	25231528
mir-137	Glioblastoma	25232498
mir-145	Glioblastoma	25232498
mir-18a	Colorectal Carcinoma	25233396
mir-221	Colorectal Carcinoma	25233396
mir-217	Lung Neoplasms	25234467
mir-21	Squamous Cell Carcinoma, Oral	25236707
mir-451a	Melanoma	25237911
mir-93	Breast Neoplasms	25238878
mir-92a	Acute Myocardial Infarction	25240056
mir-16	Glioma	25242314
mir-5481	Lung Neoplasms	25245053
mir-17	Diabetes Mellitus	25249581
mir-137	Schizophrenia	25250332
mir-141	Adenocarcinoma, Prostate	25252191
mir-21	Adenocarcinoma, Prostate	25252191
mir-221	Adenocarcinoma, Prostate	25252191
mir-191	Lung Neoplasms	25252218
mir-132	Mycobacterium tuberculosis Infection	25252958
mir-26a	Mycobacterium tuberculosis Infection	25252958
mir-96	Colorectal Carcinoma	25256312
mir-148	Gastric Neoplasms	25261463
mir-152	Gastric Neoplasms	25261463
mir-210	Adenocarcinoma, Lung	25263437
mir-122	Viral Infectious Disease	25265013
mir-148b	Asthma	25266681
mir-152	Asthma	25266681
mir-21	Bladder Neoplasms	25266796
mir-122	Carcinoma, Hepatocellular	25269820
mir-122	Osteosarcoma	25269820
mir-200	Gastric Neoplasms	25270520
mir-34c	Ovarian Neoplasms	25273528
mir-122	Hepatitis C Virus Infection	25275643
mir-126	Carcinoma, Renal Cell	25279769
mir-21	Carcinoma, Renal Cell	25279769
mir-221	Carcinoma, Renal Cell	25279769
mir-105	Carcinoma, Hepatocellular	25280563
mir-155	Prostate Neoplasms	25283513
mir-3127	Carcinoma, Lung, Non-Small-Cell	25284075
mir-203	Squamous Cell Carcinoma	25284788
mir-106b	Neoplasms [unspecific]	25286029
mir-495	Carcinoma, Lung	25286762
mir-720	Lung Neoplasms	25286763
mir-139	Colorectal Carcinoma	25286864
mir-7	Carcinoma, Lung, Non-Small-Cell	25289099
mir-142	Carcinoma, Hepatocellular	25292173
mir-204	Colorectal Carcinoma	25294901
mir-490	Ovarian Neoplasms	25297343
mir-212	Carcinoma, Esophageal	25299094
mir-122	Hepatitis B Virus Infection	25299106
mir-29	Hepatitis B Virus Infection	25299106
mir-491	Carcinoma, Ovarian	25299770
mir-126	Inflammation	25300227
mir-30b	Heart Failure	25301066
mir-106a	Helicobacter pylori Infection	25307786
mir-375	Helicobacter pylori Infection	25307786
mir-29a	Vascular Hypertrophy	25308856
mir-429	Carcinoma, Hepatocellular, HBV-Related	25312821
mir-133a	Cardiomegaly	25313674
mir-126	Atherosclerosis	25315114
mir-21	Carcinoma, Thyroid	25316501
mir-125b-1	Leukemia, Myeloid	25316507
mir-135a	Gastric Neoplasms	25322930
mir-21	Lung Neoplasms	25323306
mir-146a	Glioblastoma	25326894
mir-106b	Carcinoma, Hepatocellular	25327652
mir-200a	Ovarian Neoplasms	25327865
mir-378	Colorectal Carcinoma	25328987
mir-33a	Inflammation	25329888
mir-375	Carcinoma, Cervical	25330011
let-7a	Colon Neoplasms	25330373
let-7f	Colon Neoplasms	25330373
mir-96	Prostate Neoplasms	25333253
mir-573	Breast Neoplasms	25333258
mir-578	Breast Neoplasms	25333258
mir-34a	Carcinoma, Colon	25333573
mir-423	Carcinoma, Laryngeal	25337209
mir-29b	Osteosarcoma	25337211
mir-30c	Lung Neoplasms	25340791
mir-92a	Glioma	25342742
mir-29b	Aortic Aneurysm	25342766
mir-382	Osteosarcoma	25344865
mir-9	Carcinoma, Cervical	25344913
mir-126	Carcinoma, Hepatocellular	25345948
mir-939	Squamous Cell Carcinoma, Esophageal	25346128
mir-23a	Neoplasms [unspecific]	25347474
mir-34a	Medulloblastoma	25348795
mir-146a	Systemic Lupus Erythematosus	25349113
mir-132	Nervous System Diseases [unspecific]	25351997
mir-24	Aortic Aneurysm, Abdominal	25358394
mir-106b	Melanoma	25361006
mir-34a	Colorectal Carcinoma	25362853
mir-200c	Prostate Neoplasms	25363395
mir-214	Neoplasms [unspecific]	25364765
mir-24	Neoplasms [unspecific]	25364765
mir-21	Carcinoma, Ovarian, Clear Cell	25366985
mir-29	Carcinoma, Hepatocellular	25367851
mir-509	Leukemia, Lymphoblastic	25368993
mir-145	Multiple Myeloma	25369735
mir-93	Colorectal Carcinoma	25371073
mir-25	Prostate Neoplasms	25372501
mir-93	Prostate Neoplasms	25372501
mir-1	Glioblastoma	25374033
mir-9	Neoplasms [unspecific]	25375090
mir-21	Neoplasms [unspecific]	25376700
mir-18a	Colorectal Carcinoma	25379703
mir-410	Osteosarcoma	25385479
mir-130b	Carcinoma, Hepatocellular	25387077
mir-451	Osteosarcoma	25391425
mir-193a	Lung Neoplasms	25391651
mir-107	Kidney Diseases [unspecific]	25392232
mir-9	Gastric Neoplasms	25395097
mir-34a	Atherosclerosis	25395581
mir-200	Breast Neoplasms	25401471
mir-122	Hepatitis C Virus Infection	25403145
mir-125b	Neoplasms [unspecific]	25403182
mir-141	Neoplasms [unspecific]	25403569
mir-200	Neoplasms [unspecific]	25403569
mir-429	Neoplasms [unspecific]	25403569
mir-375	Carcinoma, Esophageal	25404787
mir-23b	Bladder Neoplasms	25405368
mir-27b	Bladder Neoplasms	25405368
mir-429	Breast Neoplasms	25405387
let-7a	Cholesteatoma	25405753
mir-21	Cholesteatoma	25405753
let-7f	Nervous System Diseases [unspecific]	25406171
mir-183	Prostate Neoplasms	25409297
mir-203	Prostate Neoplasms	25409297
mir-205	Prostate Neoplasms	25409297
mir-21	Prostate Neoplasms	25409297
mir-373	Prostate Neoplasms	25409297
mir-204	Mesial Temporal Lobe Epilepsy	25410734
mir-218	Mesial Temporal Lobe Epilepsy	25410734
mir-106b	Coronary Artery Disease	25415674
mir-17	Coronary Artery Disease	25415674
mir-18a	Coronary Artery Disease	25415674
mir-92a	Coronary Artery Disease	25415674
mir-449b	Prostate Neoplasms	25416653
mir-200a	Colorectal Carcinoma	25422078
mir-200b	Colorectal Carcinoma	25422078
mir-200c	Colorectal Carcinoma	25422078
mir-449a	Carcinoma, Lung, Non-Small-Cell	25424357
mir-141	Carcinoma, Hepatocellular	25425543
mir-10b	Neoplasms [unspecific]	25426550
mir-520d	Neoplasms [unspecific]	25426550
mir-155	Leukemia, Myeloid, Acute	25428263
mir-203	Leukemia, Myeloid, Acute	25428263
mir-9	Leukemia, Myeloid, Acute	25428263
mir-23a	Neoplasms [unspecific]	25429623
mir-210	Tibial Meniscus Injuries	25430980
mir-193b	Psoriasis	25431026
mir-223	Psoriasis	25431026
mir-26a	Breast Neoplasms	25434799
mir-1181	Pancreatic Neoplasms	25444909
mir-23a	Breast Neoplasms	25445205
mir-21	Neoplasms [unspecific]	25445583
mir-134	Carcinoma, Embryonal	25447206
mir-21	Carcinoma, Hepatocellular	25447674
mir-221	Carcinoma, Hepatocellular	25447674
mir-222	Carcinoma, Hepatocellular	25447674
mir-221	Breast Neoplasms	25447917
mir-197	Lung Neoplasms	25451482
mir-320a	Colorectal Carcinoma	25458952
mir-320b	Colorectal Carcinoma	25458952
mir-126	Prostate Neoplasms	25462564
mir-149	Prostate Neoplasms	25462564
